"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R12","R0603","13.45mm","125.375mm","13.45mm","125.375mm","13.45mm","126.175mm","T","270.00","500"
"P3","Header20x2","-6.365mm","32mm","-11.2mm","32mm","-4.24mm","20.57mm","T","90.00","Header 20"
"CIN11","C1210","3.9mm","127mm","3.9mm","127mm","2.3mm","127mm","T","360.00","10uF,16V"
"CIN10","C1210","3.9mm","130.7mm","3.9mm","130.7mm","2.3mm","130.7mm","T","360.00","10uF,16V"
"CIN9","C1210","3.9mm","134.4711mm","3.9mm","134.4711mm","2.3mm","134.4711mm","T","0.00","10uF,16V"
"CIN8","C1210","3.9mm","138.2mm","3.9mm","138.2mm","2.3mm","138.2mm","T","360.00","10uF,16V"
"C502","Cradial_smd1","23.4mm","42.1mm","23.4mm","42.1mm","25.9mm","42.1mm","T","180.00","Cap Pol2"
"C500","Cradial_smd1","31.25mm","72.375mm","31.25mm","72.375mm","33.75mm","72.375mm","T","180.00","Cap Pol2"
"C214","0402","18.9129mm","49.5249mm","18.938mm","49.5mm","18.9129mm","49.0249mm","T","180.00","100nF"
"C213","0402","20.7129mm","49.5249mm","20.738mm","49.5mm","20.7129mm","49.0249mm","T","180.00","100nF"
"C212","0402","22.4129mm","49.5249mm","22.438mm","49.5mm","22.4129mm","49.0249mm","T","180.00","100nF"
"COUT13","C1812","9.05mm","66.75mm","9mm","66.75mm","11.5mm","66.75mm","T","180.00","100uF,6.3V"
"T2","testpoint","21.75mm","86mm","21.75mm","86mm","21.75mm","86mm","T","0.00","testpoint"
"T1","testpoint","13.9mm","137.2mm","13.9mm","137.2mm","13.9mm","137.2mm","T","0.00","testpoint"
"R14","R0603","31.6mm","126.55mm","31.6mm","126.55mm","31.6mm","125.75mm","T","90.00","3.3k"
"R13","R0603","31.6mm","129.3mm","31.6mm","129.3mm","31.6mm","128.5mm","T","90.00","10k"
"FB","1206_ferrite","34.75mm","147mm","34.75mm","147mm","33.25mm","147mm","T","180.00","ferrite bread(same as mainboard)"
"X1","OSC","16.3997mm","5.1499mm","16.3997mm","5.1499mm","15.1497mm","4.0499mm","T","0.00","KC5032A-CM"
"U60","CLK-mux","16.3mm","10.8mm","16.3mm","10.8mm","19.3mm","8.895mm","T","180.00","CLK_MUX"
"COUT20","C1812","35.95mm","31mm","36mm","31mm","33.5mm","31mm","T","360.00","100uF,6.3V"
"CIN2","C1210","2.25mm","116.25mm","2.25mm","116.25mm","2.25mm","114.65mm","T","90.00","10uF,16V"
"C150","C0603","12.55mm","5.3mm","12.55mm","5.3mm","12.55mm","4.4mm","T","90.00","0.01uF"
"C600","0402","5.637mm","62.0251mm","5.612mm","62mm","5.137mm","62.0251mm","T","90.00","100nF"
"C601","0402","5.637mm","63.1251mm","5.612mm","63.1mm","5.137mm","63.1251mm","T","90.00","100nF"
"C602","0402","25.637mm","63.0749mm","25.662mm","63.1mm","26.137mm","63.0749mm","T","270.00","100nF"
"C603","0402","25.637mm","61.9749mm","25.662mm","62mm","26.137mm","61.9749mm","T","270.00","100nF"
"C604","0402","18.287mm","26.2751mm","18.262mm","26.25mm","17.787mm","26.2751mm","T","90.00","100nF"
"C605","0402","18.287mm","27.3751mm","18.262mm","27.35mm","17.787mm","27.3751mm","T","90.00","100nF"
"C606","0402","38.837mm","27.3249mm","38.862mm","27.35mm","39.337mm","27.3249mm","T","270.00","100nF"
"C607","0402","38.837mm","26.2249mm","38.862mm","26.25mm","39.337mm","26.2249mm","T","270.00","100nF"
"COUT7","CASE-D1","8.55mm","71.25mm","8.5mm","71.25mm","11mm","71.25mm","T","180.00","330uF,2.5V"
"U22","CoinCraftA12","28.75mm","22mm","28.75mm","22mm","23.55mm","27.4mm","T","360.00","CoinCraftA1"
"C230","0402","36.587mm","20.1249mm","36.612mm","20.15mm","37.087mm","20.1249mm","T","270.00","100nF"
"C231","0402","36.587mm","18.5249mm","36.612mm","18.55mm","37.087mm","18.5249mm","T","270.00","100nF"
"U21","CoinCraftA12","16.1mm","57.75mm","16.1mm","57.75mm","10.9mm","63.15mm","T","360.00","CoinCraftA1"
"C208","0402","23.937mm","55.8749mm","23.962mm","55.9mm","24.437mm","55.8749mm","T","270.00","100nF"
"C209","0402","23.937mm","54.2749mm","23.962mm","54.3mm","24.437mm","54.2749mm","T","270.00","100nF"
"C210","0402","23.937mm","52.6749mm","23.962mm","52.7mm","24.437mm","52.6749mm","T","270.00","100nF"
"C211","0402","23.937mm","50.9749mm","23.962mm","51mm","24.437mm","50.9749mm","T","270.00","100nF"
"C216","0402","15.3369mm","49.5249mm","15.362mm","49.5mm","15.3369mm","49.0249mm","T","180.00","100nF"
"C217","0402","13.5369mm","49.5249mm","13.562mm","49.5mm","13.5369mm","49.0249mm","T","180.00","100nF"
